マクドナルドイオンモール札幌苗穂店	(43.0792737, 141.4046478)
きむら小児科医院	(43.0309941, 141.3412214)
メディカル薬局山鼻	(43.030685, 141.3411026)
さくら薬局中央図書館前店	(43.0306754, 141.3407769)
きちかわクリニック	(43.0325275, 141.3385851)
村形耳鼻咽喉科	(43.0315146, 141.3378491)
わたなべ薬局	(43.0314374, 141.3378199)
ひかり幼稚園	(43.030649, 141.3388459)
サンメディカル調剤薬局山鼻店	(43.0305305, 141.3384738)
ろいず珈琲館旧小熊邸	(43.0325759, 141.332125)
末日聖徒イエス・キリスト教会藻岩	(43.0322417, 141.3352092)
東本願寺 北海御廟	(43.0296105, 141.3346031)
久遠寺	(43.0304318, 141.3488428)
日本キリスト教団 札幌中央教会	(43.0284886, 141.3475466)
ツルハドラッグ南22条店	(43.0301054, 141.3452286)
札幌方面南警察署 山鼻交番	(43.0292546, 141.3453242)
札幌市中央消防署 山鼻出張所	(43.0285464, 141.3456169)
札幌市中央区 山鼻まちづくりセンター	(43.028518, 141.3458293)
幌南華園保育園	(43.0282623, 141.3455069)
伊予製麺石山通店	(43.0305589, 141.3446909)
やまはな歯科	(43.0293796, 141.3448333)
マツモトキヨシプロム山鼻店	(43.0304462, 141.3424409)
北海道銀行山鼻支店	(43.0302713, 141.341826)
特定医療法人 社団慈藻会 平松記念病院	(43.029919, 141.3390521)
札幌パプテスト教会	(43.030036, 141.3380562)
回転寿司 根室はなまる南25条店	(43.0258047, 141.3399173)
焼肉 徳寿 藻岩店藻岩店	(43.0253306, 141.3400518)
ポピー歯科クリニック	(43.0279373, 141.3449537)
山鼻児童会館	(43.0275948, 141.3410983)
大西歯科クリニック	(43.0253514, 141.343872)
オリーブ歯科	(43.0223546, 141.3456589)
タイムズ北一条地下駐車場	(43.0617132, 141.3474193)
札幌方面南警察署	(43.0212901, 141.3456309)
玄松寺	(43.0207692, 141.3463649)
丸紅エネルギー	(43.0185498, 141.3460295)
もいわ光華保育園	(43.0198248, 141.3499319)
パナシェ	(43.0566135, 141.3502657)
徳光珈琲;大通公園噴水大通店	(43.0613457, 141.352355)
徳光珈琲円山店	(43.0559924, 141.319326)
スターバックス札幌医科大学附属病院店	(43.0550798, 141.333357)
スターバックス札幌円山店	(43.0548402, 141.3182977)
スターバックス札幌パルコ店	(43.0587763, 141.3528122)
スターバックス札幌ステラプレイス センター1階店	(43.0679096, 141.351028)
スターバックス札幌桑園店	(43.0699025, 141.3326518)
NPO法人 さっぽろ自由学校「遊」	(43.0582878, 141.3496659)
ECOカフェマイカップ	(43.0640033, 141.3321982)
(株)あきもり	(43.0570789, 141.3454874)
すき家札幌ポールタウン店	(43.0565964, 141.3533522)
中根敏得リハビリテーション内科小児科医院	(43.015892, 141.3469715)
松岡歯科	(43.0152024, 141.3465236)
札幌南整形外科病院	(43.0138026, 141.3454226)
札幌南三十四条郵便局	(43.0131522, 141.34694)
かさはら動物病院	(43.0135317, 141.3486863)
ガスト札幌藻岩店	(43.0076642, 141.3445901)
エネオス藻南セルフSS	(43.0065048, 141.3441478)
岩田珈琲店	(43.0799992, 141.374355)
アルベテッコ	(43.0556193, 141.3504993)
牛角藻岩店	(43.0048407, 141.3429219)
VANITY SAPPORO	(43.0542242, 141.3510148)
札幌方面南警察署 真駒内団地交番	(42.9905202, 141.3534002)
札幌市南保健センター	(42.9897964, 141.3525189)
北海道銀行真駒内支店	(42.990531, 141.353716)
カフェ・デ・ろまん	(43.0079403, 141.3402165)
花論珈琲茶房藻岩本店	(43.0092639, 141.3400232)
ルース・ロウ	(43.0082097, 141.3395323)
真駒内児童会館	(43.0068594, 141.3496264)
真駒内郵便局	(43.0055326, 141.3486365)
自衛隊札幌病院	(43.0060692, 141.3536387)
びっくりドンキーミュンヘン大橋店	(43.0157263, 141.3566814)
ミスタードーナツコーチャンフォーミュンヘン大橋ショップ	(43.0172794, 141.3557235)
衛生歯科クリニック	(43.0181917, 141.3601255)
澄川ひろのぶ保育園	(43.0190941, 141.3623431)
北海道信用金庫澄川支店	(43.0176616, 141.3663222)
串鳥澄川店	(43.0174315, 141.3663272)
北海道銀行澄川支店	(43.0169001, 141.3662256)
札幌市南区 澄川まちづくりセンター	(43.0168137, 141.3647687)
札幌澄川駅前郵便局	(43.0166917, 141.3662488)
澄川幼稚園	(43.0153305, 141.3653247)
ツルハドラッグ澄川3条店	(43.0154007, 141.3659056)
酒井内科消化器科クリニック	(43.0139807, 141.3658792)
北洋銀行澄川中央支店	(43.015341, 141.366693)
札幌澄川郵便局	(43.0135134, 141.3658303)
札幌中央信用組合澄川支店	(43.0122282, 141.3655454)
経専北海道保育専門学校	(43.0132972, 141.366226)
札幌方面南警察署 澄川交番	(43.0111887, 141.3658762)
ピザハット澄川店	(43.0119324, 141.3655849)
エネオス澄川3条SS	(43.0094838, 141.3650159)
経専北海道観光専門学校	(43.0069575, 141.3643757)
天神山児童会館	(43.0203638, 141.3611699)
相馬神社	(43.0205123, 141.3648016)
澄腎クリニック	(43.0197472, 141.3672179)
平岸外科整形外科医院	(43.021189, 141.3669358)
平岸天満宮	(43.0227615, 141.3666357)
百瀬歯科クリニック	(43.0230944, 141.3566245)
にしむら歯科医院	(43.0183463, 141.3573165)
フロンティア薬局中の島店	(43.0253278, 141.3569281)
日本調剤中の島薬局	(43.0262499, 141.3574392)
中の島調剤薬局	(43.0263385, 141.3569458)
腎臓内科めぐみクリニック	(43.0275399, 141.356568)
ツルハドラッグ中の島2条店	(43.0228171, 141.3573053)
札幌市豊平区 南平岸まちづくりセンター	(43.0264224, 141.3676056)
たんぽぽ小児科	(43.0250279, 141.3638405)
吉田学園やしの木保育園	(43.0245856, 141.3643718)
こだわり とんかつ かつ徳平岸店	(43.0246815, 141.3666002)
回転寿しトリトン平岸店	(43.0244191, 141.3663667)
美加レディースクリニック	(43.0267148, 141.3695769)
いし胃腸科内科医院	(43.0265454, 141.3685542)
長専寺	(43.0237039, 141.3680589)
根本耳鼻咽喉科クリニック	(43.0259909, 141.3719073)
エネオスDr.Drive南平岸SS	(43.0250919, 141.380581)
北海道整形外科記念病院	(43.0248978, 141.3818268)
ツルハドラッグ厚別南店	(43.0221341, 141.4743445)
札幌澄川六条郵便局	(43.0130073, 141.3757279)
澄川たかだ皮フ科クリニック	(43.0108923, 141.3739896)
千秋内科医院	(43.010651, 141.3740674)
井村外科医院	(43.0103372, 141.3744174)
カドマエ歯科医院	(43.0104863, 141.374223)
北央信用組合澄川支店	(43.0126747, 141.3758499)
札幌市すみかわ地区センター	(43.0126942, 141.3692297)
澄川図書館	(43.0125029, 141.3686127)
林下病院	(43.0112347, 141.3674601)
富田歯科医院	(43.0099037, 141.3680433)
ロッテリア札幌山の手店	(43.0647681, 141.3008608)
澄川保育所	(43.0097422, 141.3694218)
さかもと調剤薬局	(43.0615218, 141.3060943)
札幌市南消防署 澄川出張所	(43.0092799, 141.3657775)
北海道信用金庫菊水支店	(43.0680103, 141.4017111)
ドトールコーヒーショップ札幌大通西3丁目店	(43.0601339, 141.3532346)
びっくりドンキー大通地下店	(43.0600608, 141.3534567)
北海道信用金庫苗穂	(43.067433, 141.375136)
川村皮フ科医院	(43.1161074, 141.3261185)
幸内科クリニック	(43.0074571, 141.3674001)
日豊寺	(43.0020886, 141.3647849)
札幌澄川南郵便局	(42.9998848, 141.3671068)
坂東歯科医院	(42.9999766, 141.3672452)
たむら内科クリニック	(43.005373, 141.3740339)
日本調剤澄川調剤薬局	(43.005315, 141.374352)
寺尾歯科	(43.0019343, 141.3739641)
札幌緑が丘動物病院	(42.9998427, 141.3682328)
なかさと歯科クリニック	(42.9981586, 141.3693813)
認定こども園そらいろ	(42.9991249, 141.3733349)
札幌方面南警察署 真駒内交番	(43.0037337, 141.3484386)
Morita Coffee	(43.0827309, 141.2902478)
マジックスパイス札幌店	(43.0409617, 141.4135578)
すみれ	(43.0326394, 141.3617114)
コスモ石油セルフステーションまこまない	(42.9979835, 141.3498818)
出光真駒内SS	(42.9949471, 141.3497123)
北海道信用金庫月寒支店	(43.029979, 141.3963858)
村元内科医院	(42.9968401, 141.3531963)
真駒内つが整形外科クリニック	(42.9967997, 141.3537257)
つがねさわ歯科医院	(42.9968217, 141.3572615)
真駒内上町郵便局	(42.9957825, 141.3537981)
カトリック真駒内教会	(42.9962837, 141.3543993)
サツドラ真駒内緑町店	(42.9934531, 141.3500637)
小笠原クリニック札幌病院	(42.9943367, 141.3489891)
岸皮膚科医院	(42.9914567, 141.3502792)
エネオスDr.Drive真駒内SS	(42.9904493, 141.3531242)
真駒内五輪児童会館	(42.9882801, 141.3557453)
ワイス歯科	(42.9877349, 141.3548601)
真駒内たかの内科	(42.9856369, 141.3540753)
まこまない明星幼稚園	(42.9877561, 141.3538708)
日本キリスト教団 真駒内教会	(42.9875429, 141.3541646)
真駒内泉町郵便局	(42.9849763, 141.3528723)
真駒内保育園	(42.9842255, 141.351979)
ツルハドラッグ真駒内南店	(42.9812572, 141.3496636)
日之出歯科 真駒内診療所	(42.9792742, 141.3503932)
キッチン サカ	(43.0806217, 141.3455669)
なの花薬局平岸店	(43.035578, 141.367331)
札幌方面豊平警察署 福住交番	(43.0142374, 141.398895)
エネオスEneJet真駒内SS	(42.978833, 141.3462999)
百町整形外科内科呼吸器内科	(42.9711338, 141.3394068)
札幌方面南警察署 石山交番	(42.9703539, 141.3380115)
札幌麻生脳神経外科病院	(43.0882625, 141.3499039)
札幌石山郵便局	(42.9680599, 141.3338593)
日浄寺	(42.9699172, 141.3383926)
妙現寺	(42.9690079, 141.3367236)
石山神社	(42.9657709, 141.3330319)
真龍寺	(42.9658936, 141.3312906)
札幌市南区 石山まちづくりセンター	(42.9691857, 141.3367963)
札幌市石山児童会館	(42.9654459, 141.3315756)
札幌市南消防署 石山出張所	(42.9655249, 141.3304521)
善住寺	(42.9641362, 141.3283179)
瑞現寺	(42.9641301, 141.3275953)
竹嶋内科クリニック	(42.9713302, 141.344177)
いいおか整形外科クリニック	(42.9711704, 141.3441818)
芸術の森泌尿器科	(42.966747, 141.3423352)
匠鮨	(43.0569021, 141.3467267)
札幌石山東簡易郵便局	(42.9622027, 141.3434706)
いしやま中央幼稚園	(42.9541401, 141.3390581)
札幌北二十三条郵便局	(43.0886264, 141.3431041)
遠軽信用金庫札幌支店	(43.088081, 141.343232)
佐々木歯科医院	(42.9602506, 141.3431174)
佛願寺	(42.9567917, 141.3431893)
札幌南病院	(42.9544218, 141.3437883)
スターバックス札幌紀伊國屋書店	(43.067488, 141.348355)
札幌市南区 芸術の森地区まちづくりセンター	(42.9542749, 141.3442003)
札幌市常盤児童会館	(42.9480757, 141.3478988)
ときわ病院	(42.9438073, 141.3446082)
札幌芸術の森郵便局	(42.9433628, 141.3454285)
うみんちゅぬ　やまんちゅぬ　北大前店	(43.077179, 141.3480532)
北海道大学前郵便局	(43.08126, 141.3454755)
北海道信用金庫大通南支店	(43.0585823, 141.3483231)
SMBC信託銀行札幌支店	(43.0634975, 141.350984)
三井住友信託銀行札幌中央支店	(43.063812, 141.3509491)
北星信用銀行札幌支店	(43.0633074, 141.3510135)
三菱UFJ信託銀行札幌支店	(43.0660417, 141.3503594)
第四銀行札幌支店	(43.0657823, 141.3504253)
南禅院	(42.9158206, 141.3273591)
札幌ザンギ本舗 札幌駅北口店	(43.0709813, 141.3492964)
回転寿司 函館漁火川沿店	(42.9911387, 141.3339471)
モスバーガー川沿ソシア店	(42.9913622, 141.3339947)
味の時計台	(42.9916612, 141.3340965)
らーめん五丈原本店	(43.0510985, 141.3459233)
クスリのツルハ川沿店	(43.0001614, 141.3370719)
川沿脳神経外科クリニック	(43.0001581, 141.3372922)
川沿薬局	(43.0006105, 141.3348117)
回転寿し一心藤野店	(42.9617196, 141.3027374)
サンドラッグ藤野店	(42.9619828, 141.3029335)
酒房かざ車	(43.080585, 141.3455778)
五輪橋整形外科病院	(42.9989444, 141.3381886)
ノルデン薬局五輪橋店	(42.9991635, 141.3381186)
札幌共立五輪橋病院	(42.9983858, 141.3386022)
アイン薬局五輪大橋店	(42.9984883, 141.337503)
炭の灯かりWA!GAJA	(42.9966961, 141.336744)
札幌方面南警察署 藻南交番	(42.9864709, 141.3351059)
北海道らーめん奥原流 久楽	(42.9839495, 141.3356691)
もなみ歯科	(42.9835892, 141.3357551)
暖龍川沿店	(43.0017773, 141.3380728)
宮島学園北海道製菓専門学校	(43.0015279, 141.3374781)
北海道銀行川沿支店	(43.0004289, 141.3351171)
北洋銀行藻岩支店	(42.9997768, 141.3371746)
中村記念南病院	(42.9976183, 141.3355168)
和食処とんでん川沿店川沿店	(42.9939353, 141.3348574)
エネオス藻岩SS	(42.9903462, 141.3339442)
札幌きい眼科	(43.0007008, 141.33469)
北の沢夜間歯科	(43.0016892, 141.3310436)
出光五輪通りSS	(43.0001917, 141.3300646)
もいわ内科医院	(43.0001969, 141.3291263)
はらだ動物病院	(43.0000739, 141.3285968)
なりた耳鼻咽喉科アレルギー科クリニック	(42.9999118, 141.3251159)
すみだ歯科医院	(43.0008391, 141.3254753)
円乗寺	(43.0050917, 141.31921)
北ノ沢病院	(43.0075665, 141.3139607)
札幌トモエ幼稚園	(43.0150021, 141.2995101)
妙福寺	(43.0143029, 141.2761825)
釧路ふく亭 櫂梯樓	(43.0588797, 141.353013)
エネオスDr.Driveセルフ北19条店	(43.083714, 141.344252)
おしどり	(43.0493147, 141.3539073)
すあげ	(43.0433674, 141.3088839)
大願寺	(43.084248, 141.355326)
札幌聖ミカエル教会	(43.085389, 141.354642)
ケアメゾン24	(43.091777, 141.350005)
ミスタードーナツ北24条駅前ショップ	(43.090194, 141.344347)
エネオスDr.Drive北光SS	(43.085775, 141.3513829)
札幌北十八条郵便局	(43.083352, 141.351449)
北18条つじ内科・消化器内科	(43.08346, 141.35053)
本行寺	(42.9991121, 141.3147107)
札幌方面南警察署 北ノ沢交番	(42.9994985, 141.3251041)
札幌川沿郵便局	(42.9997671, 141.3295285)
南札幌脳神経外科	(43.0001395, 141.3312329)
エネオスDr.Drive川沿店	(43.0002088, 141.3317139)
札幌市南消防署 川沿出張所	(43.000019, 141.3326612)
伊藤仁歯科	(42.9988826, 141.3325943)
サツドラ川沿店	(42.9962076, 141.3314125)
サツドラ中ノ沢店	(42.9968422, 141.3225206)
エネオス北25条SS	(43.09399, 141.360677)
北海道銀行美香保支店	(43.092386, 141.361087)
ほっともっと	(42.9949196, 141.3313041)
もなみクリニック	(42.9925741, 141.3315992)
川沿中央医院	(42.9923791, 141.3316016)
本顕寺	(42.9920631, 141.3302164)
もいわ中央保育園	(42.9916978, 141.3314192)
朋心寺札幌支院	(42.9892272, 141.3272228)
札幌市南区 藻岩まちづくりセンター	(42.9872969, 141.3326447)
藻岩児童会館	(42.987615, 141.3335105)
つぼ八川沿店	(42.9880172, 141.3338177)
札幌川沿八条郵便局	(42.9879065, 141.3340122)
北央信用組合藻南支店	(42.9868582, 141.3344419)
金山歯科・矯正歯科	(42.9877731, 141.3302264)
三上歯科医院	(42.9852829, 141.3348548)
宝流寺	(42.9855709, 141.3344971)
北海道信用金庫川沿支店	(42.9836743, 141.3352605)
南の沢児童会館	(42.9877957, 141.3161459)
札幌南沢郵便局	(42.9877466, 141.3137789)
洞源寺	(42.9892563, 141.308142)
南の沢歯科	(42.9880589, 141.3142761)
札幌南沢神社	(42.9834746, 141.3132443)
カンナ歯科	(42.9821001, 141.3356505)
もなみ内科・呼吸器科クリニック	(42.9827267, 141.3354844)
晴生会さっぽろ南病院	(42.9765907, 141.337227)
エネオスDr.Drive Challenge 川沿SS	(42.9761785, 141.3363639)
川沿小動物医院	(42.9848417, 141.3348769)
エネオス藻南SS	(42.980778, 141.3359095)
勤医協札幌みなみ診療所	(42.9807466, 141.3351692)
クリニックあい	(42.9800382, 141.3340159)
愛全病院	(42.9794397, 141.3334955)
みくに動物病院	(42.9798635, 141.3349788)
なか卯川沿店	(42.9801304, 141.336108)
札幌南福音キリスト教会	(42.97911, 141.3353728)
リラコート愛全	(42.9783917, 141.3337661)
サングレイス	(42.9781739, 141.3322667)
なかの内科・消化器内科クリニック	(42.9785015, 141.3363978)
ピザハット川沿店	(42.9757404, 141.3353491)
ラーメンさんぱち石山店	(42.9639428, 141.3247256)
石山眼科	(42.9640291, 141.3237653)
しんぼる	(42.9637525, 141.3234363)
丸亀製麺札幌石山店	(42.9622923, 141.3193227)
びっくりドンキー藤野店	(42.9612513, 141.3131231)
つぼ八藤野店	(42.9614665, 141.3107211)
魚民藤野店	(42.9615297, 141.3102842)
ふじのさわ内科クリニック	(42.9612855, 141.3090574)
札幌藤が丘整形外科医院	(42.9613734, 141.3085965)
札幌中央信用組合藤野支店	(42.9613206, 141.3082364)
札幌市南消防署 藤野出張所	(42.9615578, 141.3062775)
十五島内科医院	(42.9618932, 141.2970777)
札幌方面南警察署 藤野交番	(42.9618528, 141.2961414)
ツルハドラッグ藤野店	(42.9623728, 141.2950611)
藤野地区センター	(42.9623992, 141.293059)
札幌市南区 藤野まちづくりセンター	(42.9622446, 141.2930518)
出光藤野SS	(42.9620109, 141.2940001)
藤野郵便局	(42.9622694, 141.2921952)
藤野児童会館	(42.9630793, 141.2902345)
北門信用金庫ふじの支店	(42.9622865, 141.2882394)
含笑寺	(42.9624341, 141.2873497)
大松寺	(42.9614963, 141.2781763)
ラーメン山岡家藤野店	(42.9615577, 141.2742249)
大松寺	(42.9646177, 141.2709422)
札幌簾舞郵便局	(42.9631065, 141.262908)
花岡神社	(42.9624392, 141.2615402)
淨徳寺	(42.9618577, 141.2608107)
エネオスセルフ簾舞SS	(42.9614978, 141.2594038)
上砥山神社	(42.9626199, 141.2340674)
時田歯科医院	(42.9634402, 141.3251841)
赤沼外科医院	(42.9623966, 141.3216849)
出光石山SS	(42.9618573, 141.3196443)
石山病院	(42.9601092, 141.3185376)
スターバックス札幌石山店	(42.9609852, 141.3147944)
ツルハドラッグ石山店	(42.9598305, 141.3146029)
ココス札幌石山店	(42.9609448, 141.3141302)
藤野沢簡易郵便局	(42.9610238, 141.3068125)
マクドナルド230藤野店	(42.9608691, 141.304731)
エネオスDr.Drive藤野中央店	(42.9611853, 141.3008048)
コスモ石油セルフステーション藤野	(42.9612775, 141.2988351)
札幌藤ヶ丘郵便局	(42.959713, 141.2986997)
つだ歯科矯正歯科クリニック	(42.9601233, 141.2986541)
らいらっく	(42.9563792, 141.3020327)
小笠原クリニック藤野診療所	(42.9609299, 141.2977202)
和田歯科クリニック	(42.9607425, 141.2977324)
坂井歯科医院	(42.9613851, 141.2964071)
北洋銀行藻岩支店 藤野出張所	(42.961516, 141.2956671)
北海道銀行ふじの支店	(42.9615845, 141.2945044)
板倉小児クリニック	(42.9615577, 141.2941101)
ふじのペットクリニック	(42.9616291, 141.2931262)
藤ヶ丘幼稚園	(42.9571839, 141.2977589)
藤ヶ丘保育園	(42.9572722, 141.2974049)
いとう歯科医院	(42.9606779, 141.2792244)
光ハイツ・ヴェラス藤野	(42.9605665, 141.2786475)
南札幌動物病院	(42.9609601, 141.277185)
大法寺	(42.9539181, 141.27574)
綱遵寺	(42.9597583, 141.273611)
みすまいファミリー歯科	(42.9611069, 141.2602551)
みすまい児童会館	(42.9603179, 141.2568146)
札幌市南区 簾舞まちづくりセンター	(42.960369, 141.2569648)
清勝寺	(42.9577389, 141.234552)
豊滝神社	(42.9581393, 141.2351126)
札幌大師招福寺	(42.9685742, 141.1917878)
定山渓郵便局	(42.9668693, 141.1670642)
定山渓神社	(42.9648584, 141.1671673)
定山寺	(42.9642323, 141.1657672)
真行寺	(42.9642696, 141.1650752)
定山渓保育所	(42.9640321, 141.1652924)
妙泰寺	(42.9639418, 141.1646272)
札幌方面南警察署 定山渓交番	(42.9640144, 141.1643671)
札幌市定山渓出張所	(42.9638966, 141.163026)
日産レンタカー定山渓カウンター	(42.9622655, 141.1602445)
湯の花	(42.9629722, 141.1585467)
定山渓病院	(42.9685017, 141.1645715)
心の里定山	(42.965805, 141.1597409)
ひびきの郷 札幌	(42.9729227, 141.1648841)
イリーゼ定山渓	(42.9732504, 141.158369)
おむすび きゅうさん	(43.0732577, 141.3556986)
ル・クレエ	(43.0773916, 141.356621)
串鳥南2条店	(43.0573156, 141.3500481)
串鳥	(43.0699439, 141.3491837)
モリエール	(43.0573604, 141.3116373)
蕎麦切り 春のすけ	(43.070749, 141.359314)
松屋	(43.0288952, 141.3591234)
札幌方面豊平警察署 中の島交番	(43.034334, 141.3585038)
市岡歯科医院	(43.0324224, 141.3599307)
東谷獣医科医院	(43.0328361, 141.3602714)
札幌市豊平消防署 平岸出張所	(43.0298677, 141.364056)
エネオス平岸環状SS	(43.031001, 141.3653139)
北洋銀行ドコモショップ南平岸店	(43.0281601, 141.3684048)
旭川信用金庫平岸支店	(43.0284336, 141.3684563)
まつぞの小児科医院	(43.0282796, 141.3678176)
北郷内科医院	(43.0309782, 141.3678041)
エネオスニュー平岸SS	(43.0309158, 141.3682757)
中の島神社	(43.0343273, 141.3606367)
札幌市豊平区 中の島まちづくりセンター	(43.0325532, 141.3586731)
中の島児童会館	(43.0335695, 141.3612994)
浄願寺	(43.0378383, 141.359941)
中の島せつこ内科クリニック	(43.0365862, 141.3596225)
さっぽろ矯正歯科クリニック	(43.034465, 141.3592792)
やすい歯科	(43.0359395, 141.3596827)
みよしの	(43.0371346, 141.3606949)
まつしま耳鼻咽喉科クリニック	(43.0372329, 141.3607657)
中の島興正保育園	(43.037696, 141.3617991)
よこた歯科	(43.037189, 141.361477)
中の島診療所	(43.0370286, 141.361792)
しもでメンタルクリニック	(43.0378323, 141.3613647)
サツドラ中の島店	(43.0361059, 141.3625153)
大友歯科	(43.0295156, 141.3686539)
ツルハドラッグ平岸3条店	(43.0307842, 141.3716097)
遠藤歯科クリニック	(43.0309175, 141.3704805)
平岸児童会館	(43.0312998, 141.3718216)
平岸耳鼻咽喉科	(43.0313567, 141.3692842)
豊平整形外科	(43.0316371, 141.3690375)
北海道銀行平岸支店	(43.0326997, 141.3692198)
ロイヤルホスト平岸店	(43.0335624, 141.3692708)
ケンタッキーフライドチキン平岸店	(43.0340309, 141.3692628)
北洋銀行平岸中央支店	(43.0342466, 141.3693674)
タイムズ平岸店	(43.0327134, 141.3693808)
大乗寺	(43.0329862, 141.3656592)
さいぜん内科循環器科クリニック	(43.0318932, 141.3684769)
ワイズデンタルクリニック	(43.0318059, 141.3684795)
山崎歯科医院	(43.0326647, 141.3685989)
やなづめ内科・循環器クリニック	(43.0338518, 141.3687035)
平岸歯科医院	(43.0346644, 141.3671424)
たかぎ歯科クリニック	(43.034735, 141.3688616)
クリオネ平岸薬局	(43.0356448, 141.3674966)
札幌市豊平区 平岸まちづくりセンター	(43.035521, 141.3670992)
さいとう歯科室	(43.0351674, 141.3668219)
牛角平岸店	(43.035307, 141.3664306)
エネオス幌平SS	(43.0356426, 141.3654786)
サッポロ珈琲館平岸店	(43.0358723, 141.3681899)
木の花メンタルクリニック	(43.0355617, 141.3690178)
三好歯科クリニック	(43.0358126, 141.3690745)
エフエムアップル	(43.0372431, 141.3692974)
小笠原医院	(43.0377971, 141.3693452)
木の花歯科クリニック	(43.0374932, 141.3693184)
中の島みどりの保育園	(43.0408063, 141.3638828)
島田歯科医院	(43.0423401, 141.3654822)
高齢者総合福祉施設 アビターレ	(43.0410881, 141.3668594)
イオン銀行ザ・ビッグエクスプレス平岸店出張所	(43.041239, 141.3699435)
苅谷内科クリニック	(43.0424437, 141.3699374)
イオン銀行マックスバリュエクスプレス中の島店出張所	(43.0380266, 141.3610375)
イオン銀行札幌市営地下鉄東豊線学園前駅出張所	(43.04746, 141.3690519)
坂東歯科医院	(43.0431487, 141.3685843)
介護老人保健施設 豊翔の郷	(43.0446027, 141.3666906)
旭町医院	(43.0481774, 141.3650731)
エネオスDr.Drive札幌旭町SS	(43.0486944, 141.3651175)
ヴィクトリアステーション旭町店	(43.0491329, 141.3674455)
水車町郵便局	(43.0446677, 141.3637524)
渡辺歯科	(43.0265361, 141.3715856)
アイビー歯科クリニック	(43.0266695, 141.3716848)
南平岸フミタ歯科	(43.0260361, 141.371768)
南平岸内科クリニック	(43.0284577, 141.3723688)
愛隣舘東山保育園	(43.0291341, 141.3732807)
暖龍平岸店	(43.0307164, 141.3741605)
出光AIX' 平岸SS	(43.0308929, 141.3763277)
極楽寺	(43.0259244, 141.3769071)
平岸脳神経クリニック	(43.0256087, 141.3780283)
トヨタレンタカーリース豊平区役所羊ヶ丘通店	(43.0262087, 141.3817458)
高島歯科医院	(43.025613, 141.3809018)
札幌市豊平区民センター	(43.0311089, 141.3806089)
ウエスタン平岸店	(43.0317723, 141.3781815)
北水会歯科クリニック	(43.0314774, 141.3770348)
子どもの家保育園	(43.0324834, 141.3765506)
札幌平岸五条郵便局http://map.japanpost.jp/p/search/dtl/300190412000/?&cond200=1&&his=ar,nm	(43.033595, 141.3768645)
ふなはし内科消化器科クリニック	(43.0334891, 141.3788573)
札幌方面豊平警察署 平岸交番	(43.035671, 141.3699788)
こころ歯科クリニック	(43.0345672, 141.3710383)
北川歯科クリニック	(43.035722, 141.371395)
佐々木歯科	(43.0359474, 141.376105)
わかばやし内科クリニック	(43.0359634, 141.3699006)
平岸本町内科クリニック	(43.036398, 141.370842)
札幌中央信用組合平岸支店	(43.0363876, 141.3763561)
古山小児科内科医院	(43.0371352, 141.3786955)
ひらぎし通り整形外科	(43.037187, 141.3697891)
札幌平岸三条郵便局	(43.0392475, 141.3703807)
ピザハット平岸店	(43.0391124, 141.3752611)
経専調理製菓専門学校	(43.0404387, 141.3704423)
経専音楽放送芸術専門学校	(43.0408778, 141.3704053)
宮田屋珈琲豊平店	(43.0419182, 141.3748975)
出光セルフ平岸SS	(43.0421082, 141.3705722)
札幌方面豊平警察署	(43.0418472, 141.3773174)
緑の街診療所	(43.0415748, 141.3780926)
札幌方面豊平警察署 旭交番	(43.0448354, 141.3699267)
おひげせんせいのこどもクリニック	(43.0441817, 141.3734457)
ツルハドラッグ豊平4条店	(43.0473294, 141.3755484)
北海道信用金庫豊平支店豊平六条出張所	(43.0469825, 141.3733329)
札幌ライラック病院	(43.0466787, 141.3723727)
ケー・ビー・デンタルオフィス	(43.0464199, 141.3725766)
タイムズ豊平4・9	(43.0470422, 141.3749085)
のぞみデンタルクリニック	(43.0462019, 141.3715639)
豊平動物病院	(43.0423765, 141.3754358)
札幌市豊平区 豊平まちづくりセンター	(43.0477663, 141.3719775)
豊平児童会館	(43.0476234, 141.3717964)
なかた小児科	(43.04619, 141.3969151)
北海道信用金庫豊平支店	(43.0518377, 141.3701229)
ラーメンさんぱち豊平川店	(43.0517515, 141.3703221)
経王寺	(43.0514005, 141.3689096)
愛隣館保育園	(43.0505306, 141.3693736)
豊平神社	(43.0443884, 141.3807015)
紺野整形外科クリニック	(43.0459212, 141.3797225)
石田歯科医院	(43.0458581, 141.3788149)
とよひら公園内科クリニック	(43.046124, 141.3785791)
善道寺	(43.0454226, 141.3777845)
小熊クリニック	(43.0476804, 141.3747248)
慧林寺	(43.0484721, 141.3738725)
北海道文化服装専門学校	(43.0486752, 141.3744516)
エネオスDr.Drive 豊平セルフ	(43.0512599, 141.3710478)
三浦内科循環器クリニック	(43.0510455, 141.365324)
北陸銀行豊平支店	(43.053137, 141.3677089)
豊平橋郵便局	(43.0528172, 141.3674001)
小林歯科医院	(43.053502, 141.3675753)
弘周寺	(43.0535374, 141.365228)
札幌第一福ちゃん保育園	(43.046516, 141.3835175)
札幌市豊平消防署 美園出張所	(43.0476356, 141.3823275)
とよひらの里	(43.0468139, 141.3804571)
ガスト札幌豊平店	(43.046418, 141.3798966)
徳寿豊平店	(43.0467355, 141.3794084)
北洋銀行豊平支店	(43.0495385, 141.3749559)
